index,ITEST_id,AveCorrect,skill,problemId,attemptCount,correct,consecutiveErrorsInRow,hint,hintCount,hintTotal,frIsHelpRequest,totalFrPercentPastWrong,frPast5WrongCount,frPast8WrongCount,RES_FRUSTRATED,res_level,label
11248,283,0.309661437,pattern-finding,104051250,2,0,0,1,1,1,0,0.22222222,2,2,0.0,1,0.0
11249,283,0.309661437,pattern-finding,104051250,3,1,0,0,1,1,0,0.22222222,2,2,1.0,1,0.0
11250,283,0.309661437,pattern-finding,104051251,1,1,0,0,0,0,1,0.2,2,2,0.009561398,1,0.0
11251,283,0.309661437,pattern-finding,104051252,1,1,0,0,0,0,1,0.18181819,2,2,0.009561398,0,0.0
11252,283,0.309661437,pattern-finding,104051253,1,0,0,0,0,1,1,0.16666667,2,2,0.0,0,0.0
11253,283,0.309661437,pattern-finding,104051253,2,0,0,1,1,1,0,0.16666667,2,2,0.0,0,0.0
11254,283,0.309661437,pattern-finding,104051253,3,1,0,0,1,1,0,0.16666667,2,2,0.0,1,0.0
11259,283,0.309661437,pattern-finding,104051255,1,1,0,0,0,0,1,0.14285715,1,3,0.009561398,0,0.0
11260,283,0.309661437,pattern-finding,104051256,1,1,0,0,0,0,1,0.13333334,1,3,0.009561398,0,0.0
11261,283,0.309661437,square-root,104051166,1,1,0,0,0,0,0,0.07692308,0,0,0.009561398,0,0.0
11262,283,0.309661437,equation-solving,104051263,1,0,0,0,0,0,0,0.33333334,1,1,0.65971998,1,0.0
11263,283,0.309661437,percents,104051264,1,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0
11264,283,0.309661437,percents,104051265,1,0,0,1,1,1,1,0.0,0,0,0.0,-1,0.0
11265,283,0.309661437,percents,104051265,2,0,0,0,1,1,0,0.0,0,0,0.0,0,0.0
11266,283,0.309661437,percents,104051265,3,0,0,0,1,1,0,0.0,0,0,0.0,0,0.0
11267,283,0.309661437,percents,104051265,4,0,0,0,1,1,0,0.0,0,0,0.0,1,0.0
11268,283,0.309661437,percents,104051265,5,1,0,0,1,1,0,0.0,0,0,0.0,1,0.0
11273,283,0.309661437,point-plotting,104051061,1,0,0,0,0,0,0,0.33333334,1,2,0.0,0,0.0
11282,283,0.309661437,point-plotting,104051064,1,0,0,1,1,3,1,0.33333334,1,2,0.0,-1,0.0
11283,283,0.309661437,point-plotting,104051064,2,0,0,1,2,3,0,0.33333334,1,2,0.0,-2,0.0
11284,283,0.309661437,point-plotting,104051064,3,0,0,1,3,3,0,0.33333334,1,2,0.0,-3,0.0
11285,283,0.309661437,point-plotting,104051064,4,1,0,0,3,3,0,0.33333334,1,2,0.0,1,0.0
11315,283,0.309661437,perimeter,104051206,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
11334,283,0.309661437,of-means-multiply,104051103,1,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0
11335,283,0.309661437,equivalent-fractions-decimals-percents,104051104,1,1,0,0,0,0,1,0.25,1,1,0.009561398,0,0.0
11337,283,0.309661437,equivalent-fractions-decimals-percents,104051106,1,1,0,0,0,0,0,0.2,1,1,0.009561398,0,0.0
11339,283,0.309661437,percents,104051145,1,1,0,0,0,0,0,0.0,0,0,0.009561398,0,0.0
11340,283,0.309661437,percents,104051146,1,0,0,1,1,2,1,0.0,0,0,0.0,-1,0.0
11341,283,0.309661437,percents,104051146,2,0,0,1,2,2,0,0.0,0,0,0.0,-2,0.0
11342,283,0.309661437,percents,104051146,3,0,0,0,2,2,0,0.0,0,0,0.0,0,0.0
11343,283,0.309661437,percents,104051146,4,1,0,0,2,2,0,0.0,0,0,0.0,1,0.0
11395,283,0.309661437,properties-of-geometric-figures,104051228,1,0,0,0,0,2,1,0.15384616,0,1,0.0,0,0.0
11396,283,0.309661437,properties-of-geometric-figures,104051228,2,0,0,1,1,2,0,0.15384616,0,1,0.0,0,0.0
11397,283,0.309661437,properties-of-geometric-figures,104051228,3,0,0,1,2,2,0,0.15384616,0,1,0.0,1,0.0
11398,283,0.309661437,properties-of-geometric-figures,104051228,4,1,0,0,2,2,0,0.15384616,0,1,0.0,1,0.0
11400,283,0.309661437,point-plotting,104051368,1,1,0,0,0,0,0,0.30769232,1,2,0.009561398,0,0.0
11401,283,0.309661437,subtraction,104050968,1,0,0,0,0,0,0,0.0,0,0,0.0,1,0.0
11402,283,0.309661437,subtraction,104050968,2,0,1,0,0,0,0,0.0,0,0,0.65971998,1,0.0
11403,283,0.309661437,subtraction,104050968,3,1,0,0,0,0,0,0.0,0,0,0.009561398,1,0.0
11409,283,0.309661437,pattern-finding,104050949,1,1,0,0,0,0,1,0.16666667,2,2,0.009561398,0,0.0
11410,283,0.309661437,pattern-finding,104050950,1,1,0,0,0,0,1,0.15789473,1,2,0.009561398,0,0.0
11414,283,0.309661437,pattern-finding,104050952,1,0,0,0,0,0,1,0.14285715,1,2,0.0,0,0.0
11415,283,0.309661437,pattern-finding,104050952,2,1,0,0,0,0,0,0.14285715,1,2,0.009561398,0,0.0
11416,283,0.309661437,addition,104050953,1,1,0,0,0,0,0,0.0,0,0,0.009561398,1,0.0
11417,283,0.309661437,substitution,104051315,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11423,283,0.309661437,point-plotting,104051360,1,0,0,0,0,0,0,0.2857143,1,2,0.768900735,1,0.0
11428,283,0.309661437,point-plotting,104051362,1,0,0,0,0,1,1,0.3125,1,2,0.0,0,0.0
11429,283,0.309661437,point-plotting,104051362,2,0,0,0,0,1,0,0.3125,1,2,0.0,0,0.0
11430,283,0.309661437,point-plotting,104051362,3,0,0,1,1,1,0,0.3125,1,2,0.0,1,0.0
11431,283,0.309661437,point-plotting,104051362,4,1,0,0,1,1,0,0.3125,1,2,0.0,1,0.0
11435,283,0.309661437,addition,104051293,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11436,283,0.309661437,addition,104051294,1,0,0,0,0,3,1,0.5,1,1,0.0,0,0.0
11437,283,0.309661437,addition,104051294,2,0,0,1,1,3,0,0.5,1,1,0.0,-1,0.0
11438,283,0.309661437,addition,104051294,3,0,0,0,1,3,0,0.5,1,1,0.0,1,0.0
11439,283,0.309661437,addition,104051294,4,0,0,1,2,3,0,0.5,1,1,0.0,1,0.0
11440,283,0.309661437,addition,104051294,5,0,0,1,3,3,0,0.5,1,1,0.0,1,0.0
11441,283,0.309661437,addition,104051294,6,1,0,0,3,3,0,0.5,1,1,0.0,1,0.0
11442,283,0.309661437,addition,104051295,1,1,0,0,0,0,1,0.33333334,1,1,0.009561398,1,0.0
11443,283,0.309661437,addition,104051296,1,0,0,0,0,5,1,0.25,1,1,0.586453947,0,0.0
11444,283,0.309661437,addition,104051296,2,0,0,0,0,5,0,0.25,1,1,0.586453947,0,0.0
11445,283,0.309661437,addition,104051296,3,0,0,1,1,5,0,0.25,1,1,0.0,0,0.0
11446,283,0.309661437,addition,104051296,4,0,0,1,2,5,0,0.25,1,1,0.0,1,0.0
11447,283,0.309661437,addition,104051296,5,0,0,0,2,5,0,0.25,1,1,0.0,1,0.0
11448,283,0.309661437,addition,104051296,6,0,0,1,3,5,0,0.25,1,1,0.0,1,0.0
11449,283,0.309661437,addition,104051296,7,0,0,1,4,5,0,0.25,1,1,0.0,1,0.0
11450,283,0.309661437,addition,104051296,8,0,0,1,5,5,0,0.25,1,1,0.0,1,0.0
11451,283,0.309661437,addition,104051296,9,1,0,0,5,5,0,0.25,1,1,0.0,1,0.0
11452,283,0.309661437,division,104050958,1,1,0,0,0,0,0,0.0,0,0,0.009561398,0,0.0
11453,283,0.309661437,multiplication,104051297,1,0,0,1,1,1,1,0.16666667,0,1,0.0,1,0.0
11454,283,0.309661437,multiplication,104051298,1,0,0,0,0,2,1,0.14285715,0,1,0.0,0,0.0
11455,283,0.309661437,multiplication,104051298,2,0,0,1,1,2,0,0.14285715,0,1,0.0,-1,0.0
11456,283,0.309661437,multiplication,104051298,3,0,0,1,2,2,0,0.14285715,0,1,0.0,1,0.0
11457,283,0.309661437,multiplication,104051298,4,1,0,0,2,2,0,0.14285715,0,1,0.0,1,0.0
11458,283,0.309661437,multiplication,104051299,1,1,0,0,0,0,1,0.125,0,1,0.009561398,0,0.0
11459,283,0.309661437,multiplication,104051300,1,1,0,0,0,0,1,0.11111111,0,0,0.009561398,0,0.0
11460,283,0.309661437,multiplication,104051330,1,0,0,1,1,1,1,0.1,0,0,0.0,0,0.0
11463,283,0.309661437,multiplication,104051332,1,0,0,0,0,2,1,0.16666667,1,1,0.0,0,0.0
11464,283,0.309661437,multiplication,104051332,2,0,0,0,0,2,0,0.16666667,1,1,0.0,0,0.0
11465,283,0.309661437,multiplication,104051332,3,0,0,1,1,2,0,0.16666667,1,1,0.0,1,0.0
11466,283,0.309661437,multiplication,104051332,4,0,0,1,2,2,0,0.16666667,1,1,0.0,1,0.0
11467,283,0.309661437,multiplication,104051332,5,1,0,0,2,2,0,0.16666667,1,1,0.0,1,0.0
11468,283,0.309661437,subtraction,104051288,1,0,0,0,0,2,0,1.0,1,1,0.0,0,0.0
11469,283,0.309661437,subtraction,104051288,2,0,0,1,1,2,0,1.0,1,1,0.0,0,0.0
11470,283,0.309661437,subtraction,104051288,3,0,0,1,2,2,0,1.0,1,1,0.0,0,0.0
11471,283,0.309661437,subtraction,104051288,4,1,0,0,2,2,0,1.0,1,1,0.0,1,0.0
11474,283,0.309661437,multiplication,104051050,1,0,0,0,0,3,1,0.14285715,1,1,0.0,0,0.0
11475,283,0.309661437,multiplication,104051050,2,0,0,1,1,3,0,0.14285715,1,1,0.0,-1,0.0
11476,283,0.309661437,multiplication,104051050,3,0,0,1,2,3,0,0.14285715,1,1,0.0,-2,0.0
11477,283,0.309661437,multiplication,104051050,4,0,0,1,3,3,0,0.14285715,1,1,0.0,1,0.0
11478,283,0.309661437,multiplication,104051050,5,1,0,0,3,3,0,0.14285715,1,1,0.0,1,0.0
11483,283,0.309661437,probability,104050817,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11486,283,0.309661437,probability,104050819,1,0,0,0,0,1,1,0.5,1,1,0.0,0,0.0
11487,283,0.309661437,probability,104050819,2,0,0,1,1,1,0,0.5,1,1,0.0,0,0.0
11488,283,0.309661437,probability,104050819,3,1,0,0,1,1,0,0.5,1,1,0.0,1,0.0
11489,283,0.309661437,probability,104050820,1,0,0,0,0,1,1,0.33333334,1,1,0.0,0,0.0
11490,283,0.309661437,probability,104050820,2,0,0,1,1,1,0,0.33333334,1,1,0.0,-1,0.0
11491,283,0.309661437,probability,104050820,3,1,0,0,1,1,0,0.33333334,1,1,1.0,1,0.0
11492,283,0.309661437,probability,104050739,1,1,0,0,0,0,0,0.25,1,1,0.009561398,1,0.0
11494,283,0.309661437,probability,104050830,1,0,0,0,0,0,1,0.16666667,0,1,0.0,0,0.0
11495,283,0.309661437,probability,104050830,2,1,0,0,0,0,0,0.16666667,0,1,0.009561398,0,0.0
11509,283,0.309661437,probability,104050767,1,0,0,0,0,0,0,0.09090909,0,0,0.65971998,0,0.0
11520,283,0.309661437,probability,104050770,1,1,0,0,0,0,1,0.14285715,1,1,0.009561398,0,0.0
11527,283,0.309661437,least-common-multiple,104050842,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
11528,283,0.309661437,probability,104050785,1,0,0,0,0,0,0,0.13333334,1,1,0.65971998,0,0.0
11531,283,0.309661437,probability,104050787,1,1,0,0,0,0,1,0.1764706,1,2,0.009561398,0,0.0
11532,283,0.309661437,probability,104050788,1,1,0,0,0,0,1,0.16666667,1,2,0.009561398,0,0.0
11533,283,0.309661437,equivalent-fractions-decimals-percents,104050776,1,1,0,0,0,0,0,0.16666667,1,1,0.009561398,0,0.0
11534,283,0.309661437,probability,104050748,1,1,0,0,0,0,0,0.15789473,1,2,0.009561398,1,0.0
11536,283,0.309661437,combinatorics,104050808,1,1,0,0,0,0,1,1.0,1,1,0.009561398,0,0.0
11537,283,0.309661437,combinatorics,104050809,1,0,0,0,0,1,1,0.5,1,1,0.0,0,0.0
11538,283,0.309661437,combinatorics,104050809,2,0,0,1,1,1,0,0.5,1,1,0.0,0,0.0
11539,283,0.309661437,combinatorics,104050809,3,1,0,0,1,1,0,0.5,1,1,0.0,1,0.0
11541,283,0.309661437,probability,104050780,1,0,0,0,0,0,0,0.14285715,0,1,0.768900735,0,0.0
11550,283,0.309661437,probability,104050735,1,0,0,0,0,0,0,0.16,1,1,0.768900735,1,0.0
11556,283,0.309661437,probability,104050738,1,1,0,0,0,0,1,0.17857143,1,2,0.877228516,0,0.0
11563,283,0.309661437,least-common-multiple,104050838,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
11564,283,0.309661437,equivalent-fractions-decimals-percents,104050772,1,1,0,0,0,0,0,0.14285715,1,1,0.009561398,1,0.0
11568,283,0.309661437,probability,104050812,1,0,0,0,0,0,0,0.22580644,2,3,0.0,0,0.0
11574,283,0.309661437,probability,104050815,1,1,0,0,0,0,1,0.23529412,3,3,0.877228516,0,0.0
11575,283,0.309661437,probability,104050789,1,0,0,0,0,0,0,0.22857143,2,3,0.0,0,0.0
11584,283,0.309661437,probability,104050791,1,0,0,0,0,0,1,0.24324325,1,4,0.0,0,0.0
11585,283,0.309661437,probability,104050791,2,1,0,0,0,0,0,0.24324325,1,4,0.877228516,0,0.0
11594,283,0.309661437,probability,104050793,1,1,0,0,0,0,1,0.23076923,1,2,0.877228516,0,0.0
11595,283,0.309661437,probability,104050763,1,0,0,0,0,0,0,0.225,1,1,0.0,0,0.0
11609,283,0.309661437,probability,104050753,1,0,0,0,0,0,0,0.22222222,1,1,0.0,0,0.0
11613,283,0.309661437,proportion,104050546,1,1,0,0,0,0,0,0.2857143,1,1,0.009561398,1,0.0
11614,283,0.309661437,proportion,104051421,1,1,0,0,0,0,0,0.25,1,1,0.009561398,1,0.0
11615,283,0.309661437,fraction-multiplication,104050513,1,1,0,0,0,0,0,0.0,0,0,0.009561398,0,0.0
11616,283,0.309661437,finding-percents,104050479,1,1,0,0,0,0,0,0.0,0,0,0.009561398,0,0.0
11618,283,0.309661437,mean,104050918,1,1,0,0,0,0,1,1.0,1,1,0.009561398,0,0.0
11639,283,0.309661437,mean,104050894,1,1,0,0,0,0,1,0.14285715,0,1,0.009561398,0,0.0
11644,283,0.309661437,median,104050897,1,1,0,0,0,0,1,0.5,1,1,0.009561398,0,0.0
11645,283,0.309661437,ordering-numbers,104050898,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
11651,283,0.309661437,median,104050900,1,1,0,0,0,0,1,0.33333334,1,1,0.0,0,0.0
11653,283,0.309661437,reading-graph,104050909,1,0,0,1,1,1,1,0.23076923,1,2,0.0,-1,0.0
11654,283,0.309661437,reading-graph,104050909,2,1,0,0,1,1,0,0.23076923,1,2,0.0,0,0.0
11663,283,0.309661437,multiplication,104050961,1,0,0,0,0,0,0,0.125,1,1,0.65971998,0,0.0
11664,283,0.309661437,multiplication,104050961,2,1,0,0,0,0,0,0.125,1,1,0.009561398,1,0.0
11666,283,0.309661437,substitution,104051313,1,0,0,0,0,0,1,0.33333334,1,2,0.0,0,0.0
11667,283,0.309661437,substitution,104051313,2,0,0,0,0,0,0,0.33333334,1,2,0.0,0,0.0
11668,283,0.309661437,substitution,104051313,3,0,0,0,0,0,0,0.33333334,1,2,0.0,0,0.0
11669,283,0.309661437,substitution,104051313,4,1,0,0,0,0,0,0.33333334,1,2,0.0,1,0.0
11681,283,0.309661437,addition,104050954,1,0,0,0,0,0,0,0.2,1,1,0.65971998,1,0.0
11682,283,0.309661437,addition,104050954,2,0,1,0,0,0,0,0.2,1,1,0.65971998,1,0.0
11683,283,0.309661437,addition,104050954,3,1,0,0,0,0,0,0.2,1,1,0.009561398,1,0.0
11684,283,0.309661437,addition,104051353,1,0,0,1,1,1,1,0.33333334,2,2,0.0,1,0.0
11685,283,0.309661437,addition,104051354,1,0,0,0,0,0,1,0.2857143,1,2,0.0,0,0.0
11686,283,0.309661437,addition,104051354,2,0,0,0,0,0,0,0.2857143,1,2,0.0,0,0.0
11687,283,0.309661437,addition,104051354,3,0,0,0,0,0,0,0.2857143,1,2,0.0,1,0.0
11688,283,0.309661437,addition,104051354,4,1,0,0,0,0,0,0.2857143,1,2,0.0,1,0.0
11689,283,0.309661437,addition,104051355,1,1,0,0,0,0,1,0.25,1,2,0.009561398,0,0.0
11696,283,0.309661437,making-sense-of-expressions-and-equations,104051326,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
11698,283,0.309661437,subtraction,104051322,1,0,0,0,0,2,1,0.6666667,2,2,0.0,0,0.0
11699,283,0.309661437,subtraction,104051322,2,0,0,1,1,2,0,0.6666667,2,2,0.0,0,0.0
11700,283,0.309661437,subtraction,104051322,3,0,0,1,2,2,0,0.6666667,2,2,0.0,0,0.0
11701,283,0.309661437,subtraction,104051322,4,1,0,0,2,2,0,0.6666667,2,2,0.0,1,0.0
11702,283,0.309661437,making-sense-of-expressions-and-equations,104051323,1,1,0,0,0,0,1,0.33333334,1,1,0.009561398,0,0.0
11703,283,0.309661437,point-plotting,104051364,1,0,0,0,0,0,0,0.27777779999999996,1,1,0.768900735,0,0.0
11704,283,0.309661437,point-plotting,104051364,2,0,1,0,0,0,0,0.27777779999999996,1,1,0.0,1,0.0
11709,283,0.309661437,point-plotting,104051366,1,0,0,0,0,2,1,0.3,1,2,0.0,0,0.0
11710,283,0.309661437,point-plotting,104051366,2,0,0,1,1,2,0,0.3,1,2,0.0,1,0.0
11711,283,0.309661437,point-plotting,104051366,3,0,0,1,2,2,0,0.3,1,2,0.0,1,0.0
11712,283,0.309661437,point-plotting,104051366,4,1,0,0,2,2,0,0.3,1,2,0.0,1,0.0
11713,283,0.309661437,point-plotting,104051367,1,1,0,0,0,0,1,0.2857143,1,2,0.877228516,0,0.0
11714,283,0.309661437,addition,104051289,1,0,0,1,1,1,1,0.22222222,1,2,0.0,1,0.0
11721,283,0.309661437,pattern-finding,104051413,1,1,0,0,0,0,0,0.13636364,0,1,0.009561398,0,0.0
11722,283,0.309661437,multiplication,104050966,1,1,0,0,0,0,0,0.1764706,1,2,0.009561398,1,0.0
11723,283,0.309661437,division,104050957,1,0,0,0,0,0,0,0.0,0,0,0.0,1,0.0
11724,283,0.309661437,division,104050957,2,1,0,0,0,0,0,0.0,0,0,0.009561398,1,0.0
11725,283,0.309661437,ordering-numbers,104051345,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11728,283,0.309661437,ordering-numbers,104051345,2,0,0,0,0,0,0,0.0,0,0,0.65971998,0,0.0
11733,283,0.309661437,subtraction,104051348,1,1,0,0,0,0,1,0.33333334,1,2,0.009561398,0,0.0
11739,283,0.309661437,subtraction,104051351,1,1,0,0,0,0,1,0.22222222,0,1,0.009561398,0,0.0
11740,283,0.309661437,ordering-numbers,104051352,1,0,0,0,0,0,1,0.5,1,1,0.0,0,0.0
11741,283,0.309661437,ordering-numbers,104051352,2,0,0,0,0,0,0,0.5,1,1,0.0,0,0.0
11742,283,0.309661437,ordering-numbers,104051352,3,0,0,0,0,0,0,0.5,1,1,0.0,0,0.0
11743,283,0.309661437,ordering-numbers,104051352,4,0,0,0,0,0,0,0.5,1,1,0.0,1,0.0
11744,283,0.309661437,ordering-numbers,104051352,5,1,0,0,0,0,0,0.5,1,1,0.009561398,1,0.0
